name,country,alpha_two_code,domains,web_pages,domain_count,top_level_domain,continent
Engineering Institute of Technology,Australia,AU,['student.eit.edu.au'],['https://www.eit.edu.au/'],1,au,Oceania
Universitas Nusa Putra,Indonesia,ID,['nusaputra.ac.id'],['https://nusaputra.ac.id'],1,id,Asia
University of Kyrenia,Turkey,TR,"['std.kyrenia.edu.tr', 'kyrenia.edu.tr']",['https://kyrenia.edu.tr'],2,tr,
Regent University College of Science and Technology,Ghana,GH,['regent.edu.gh'],['https://regent.edu.gh'],1,gh,
Wroclaw Akademia Biznesu,Poland,PL,"['student.wab.edu.pl', 'wab.edu.pl']",['https://wab.edu.pl'],2,pl,
Atharva College of Engineering,India,IN,['atharvacoe.ac.in'],['https://atharvacoe.ac.in'],1,in,Asia
Toronto Baptist Seminary and Bible College,Canada,CA,['tbs.edu'],['https://tbs.edu'],1,edu,North America
Universidade Comunitária da Região de Chapecó - Unochapecó,Brazil,BR,['unochapeco.edu.br'],['https://unochapeco.edu.br'],1,br,South America
West Herts College,United Kingdom,GB,"['student.westherts.ac.uk', 'westherts.ac.uk']",['https://westherts.ac.uk'],2,uk,Europe
Bhagwan Parshuram Institute of Technology,India,IN,"['bpitindia.edu.in', 'bpitindia.in']",['http://bpitindia.ac.in'],2,in,Asia
National Institute of Applied Sciences of Toulouse,France,FR,['insa-toulouse.fr'],['https://insa-toulouse.fr'],1,fr,Europe
Bugema University,Uganda,UG,['bugemauniv.ac.ug'],['https://bugemauniv.ac.ug/'],1,ug,
Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),United Arab Emirates,AE,['mbzuai.ac.ae'],['https://mbzuai.ac.ae/'],1,ae,
"Centro Universitário de Brasília, UNICEUB",Brazil,BR,"['sempreceub.com', 'uniceub.br']",['https://www.uniceub.br'],2,com,South America
Kharkiv National University,Ukraine,UA,"['student.karazin.ua', 'karazin.ua', 'univer.kharkov.ua']","['https://karazin.ua', 'http://www.univer.kharkov.ua/']",3,ua,
Universidad Técnica Federico Santa María,Chile,CL,['usm.cl'],['https://usm.cl'],1,cl,
IÉSEG School of Management,France,FR,['ieseg.fr'],['https://ieseg.fr'],1,fr,Europe
Sun Yat-Sen University,China,CN,"['mail2.sysu.edu.cn', 'mail.sysu.edu.cn']",['https://sysu.edu.cn'],2,cn,
Royal Holloway University of London,United Kingdom,GB,['rhul.ac.uk'],['https://rhul.ac.uk'],1,uk,Europe
Hunan University,China,CN,"['hnu.edu.cn', 'www-en.hnu.edu.cn']","['https://www.hnu.edu.cn', 'http://www-en.hnu.edu.cn']",2,cn,
University of Portsmouth,United Kingdom,GB,"['port.ac.uk', 'myport.ac.uk', 'myport.port.ac.uk']","['http://www.port.ac.uk/', 'https://myport.port.ac.uk']",3,uk,Europe
Central Supélec,France,FR,['centralesupelec.fr'],['https://www.centralesupelec.fr/'],1,fr,Europe
Académie de Paris,France,FR,['ac-paris.fr'],['https://www.ac-paris.fr/'],1,fr,Europe
Académie d'Aix-Marseille,France,FR,['ac-aix-marseille.fr'],['https://www.ac-aix-marseille.fr/'],1,fr,Europe
Académie de Créteil,France,FR,['ac-creteil.fr'],['https://www.ac-creteil.fr/'],1,fr,Europe
Marywood University,United States,US,['marywood.edu'],['http://www.marywood.edu'],1,edu,North America
University of Petroleum and Energy Studies,India,IN,['upes.ac.in'],['https://www.upes.ac.in/'],1,in,Asia
Ashoka University,India,IN,['ashoka.edu.in'],['https://www.ashoka.edu.in'],1,in,Asia
Indian Institute of Information Technology Sri City,India,IN,['iiits.in'],['https://www.iiits.ac.in/'],1,in,Asia
Cégep de Saint-Jérôme,Canada,CA,['cstj.qc.ca'],"['https://www.cstj.qc.ca', 'https://ccmt.cstj.qc.ca', 'https://ccml.cstj.qc.ca']",1,ca,North America
Lindenwood University,United States,US,['lindenwood.edu'],['http://www.lindenwood.edu/'],1,edu,North America
DAV Institute of Engineering & Technology,India,IN,['davietjal.org'],['http://www.davietjal.org/'],1,org,Asia
Lovely Professional University,India,IN,['lpu.in'],['http://www.lpu.in/'],1,in,Asia
Sullivan University,United States,US,['sullivan.edu'],['https://sullivan.edu/'],1,edu,North America
Florida State College at Jacksonville,United States,US,['fscj.edu'],['https://www.fscj.edu/'],1,edu,North America
Xavier University,United States,US,['xavier.edu'],['https://www.xavier.edu/'],1,edu,North America
Tusculum College,United States,US,['tusculum.edu'],['https://home.tusculum.edu/'],1,edu,North America
Claremont School of Theology,United States,US,['cst.edu'],['https://cst.edu/'],1,edu,North America
Somaiya Vidyavihar,India,IN,['somaiya.edu'],['https://somaiya.edu/'],1,edu,Asia
Columbia College (SC),United States,US,['columbiasc.edu'],['https://www.columbiasc.edu/'],1,edu,North America
Chabot-Las Positas Community College District,United States,US,['clpccd.edu'],['http://www.clpccd.edu/'],1,edu,North America
Keller Graduate School of Management,United States,US,['keller.edu'],['https://www.keller.edu/'],1,edu,North America
Monroe College,United States,US,['monroecollege.edu'],['https://monroecollege.edu/'],1,edu,North America
San Mateo County Community College District,United States,US,['smccd.edu'],['https://smccd.edu/'],1,edu,North America
Los Rios Community College District,United States,US,['losrios.edu'],['http://losrios.edu/'],1,edu,North America
DigiPen Institute of Technology,United States,US,['digipen.edu'],['https://www.digipen.edu/'],1,edu,North America
University of Pittsburgh Medical Center,United States,US,"['upmc.edu', 'upmc.com']",['https://www.upmc.com/'],2,edu,North America
Claremont Graduate University,United States,US,['cgu.edu'],['https://www.cgu.edu/'],1,edu,North America
The University of Texas at Rio Grande Valley,United States,US,['utrgv.edu'],['https://www.utrgv.edu/'],1,edu,North America
College of Mount Saint Vincent,United States,US,['mountsaintvincent.edu'],['https://mountsaintvincent.edu/'],1,edu,North America
University of Arkansas System eVersity,United States,US,['uasys.edu'],['https://www.uasys.edu/'],1,edu,North America
ECPI University,United States,US,['ecpi.edu'],['https://www.ecpi.edu/'],1,edu,North America
University of Mary Washington,United States,US,['umw.edu'],['https://www.umw.edu/'],1,edu,North America
Baldwin Wallace University,United States,US,['bw.edu'],['https://www.bw.edu/'],1,edu,North America
California State University Channel Islands,United States,US,['csuci.edu'],['https://www.csuci.edu/'],1,edu,North America
Brandman University,United States,US,['brandman.edu'],['https://www.brandman.edu/'],1,edu,North America
United States Coast Guard Academy,United States,US,['uscga.edu'],['http://www.uscga.edu/'],1,edu,North America
Athens State University,United States,US,['athens.edu'],['http://www.athens.edu/'],1,edu,North America
The Scripps Research Institute,United States,US,['scripps.edu'],['https://scripps.edu/'],1,edu,North America
Eastern Florida State College,United States,US,['easternflorida.edu'],['http://www.easternflorida.edu/'],1,edu,North America
Western New England University,United States,US,['wne.edu'],['http://www1.wne.edu/'],1,edu,North America
King University,United States,US,['king.edu'],['https://king.edu/'],1,edu,North America
Georgia Gwinnett College,United States,US,['ggc.edu'],['https://ggc.edu/'],1,edu,North America
Trident University,United States,US,['trident.edu'],['https://www.trident.edu/'],1,edu,North America
Alliant International University,United States,US,['alliant.edu'],['https://www.alliant.edu/'],1,edu,North America
Mississippi Valley State University,United States,US,['mvsu.edu'],['https://mvsu.edu/'],1,edu,North America
Roosevelt University,United States,US,['roosevelt.edu'],['https://www.roosevelt.edu/'],1,edu,North America
ITT Technical Institute,United States,US,"['itt-tech.info', 'itt-tech.edu']",['http://itt-tech.info/'],2,info,North America
Illinois Eastern Community Colleges,United States,US,['iecc.edu'],['https://iecc.edu/'],1,edu,North America
Park University,United States,US,['park.edu'],['https://park.edu/'],1,edu,North America
Icahn School of Medicine at Mount Sinai,United States,US,['mssm.edu'],['http://icahn.mssm.edu/'],1,edu,North America
Utah Valley University,United States,US,['uvu.edu'],['https://uvu.edu/'],1,edu,North America
Wisconsin Lutheran College,United States,US,['wlc.edu'],['http://www.wlc.edu/'],1,edu,North America
Riverside Community College District,United States,US,['rccd.edu'],['http://www.rccd.edu/'],1,edu,North America
Wake Forest Baptist Health,United States,US,['wakehealth.edu'],['http://www.wakehealth.edu/'],1,edu,North America
University of Massachusetts Boston,United States,US,['umb.edu'],['https://www.umb.edu/'],1,edu,North America
Florida Polytechnic University,United States,US,['floridapoly.edu'],['https://floridapoly.edu/'],1,edu,North America
Wagner College,United States,US,['wagner.edu'],['https://wagner.edu/'],1,edu,North America
Wilmington University,United States,US,['wilmu.edu'],['https://www.wilmu.edu/'],1,edu,North America
International Technological University,United States,US,['itu.edu'],['https://itu.edu/'],1,edu,North America
Young Harris College,United States,US,['yhc.edu'],['https://www.yhc.edu/'],1,edu,North America
University of Findlay,United States,US,['findlay.edu'],['https://www.findlay.edu/'],1,edu,North America
Philadelphia College of Osteopathic Medicine,United States,US,['pcom.edu'],['https://www.pcom.edu/'],1,edu,North America
Yosemite Community College District,United States,US,['yosemite.edu'],['https://www.yosemite.edu/'],1,edu,North America
Coastal Alabama Community College,United States,US,['coastalalabama.edu'],['http://www.coastalalabama.edu/'],1,edu,North America
Purdue University Northwest,United States,US,['pnw.edu'],['https://www.pnw.edu/'],1,edu,North America
Columbia Basin College,United States,US,['columbiabasin.edu'],['http://www.columbiabasin.edu/'],1,edu,North America
Seattle Colleges,United States,US,['seattlecolleges.edu'],['https://www.seattlecolleges.edu/'],1,edu,North America
Lipscomb University,United States,US,['lipscomb.edu'],['https://www.lipscomb.edu/'],1,edu,North America
Tiffin University,United States,US,['tiffin.edu'],['http://www.tiffin.edu/'],1,edu,North America
NorthCap University,India,IN,['ncuindia.edu'],['http://www.ncuindia.edu/'],1,edu,Asia
Troy University,United States,US,['troy.edu'],['https://troy.edu/'],1,edu,North America
